Feature,Importance
setting_1,0.15000248
cycle,0.108558275
sensor_13,0.095452085
sensor_16,0.08438418
sensor_13_lag1,0.07163022
sensor_11_lag1,0.058469564
sensor_11,0.050695565
sensor_4,0.03964579
sensor_15_lag1,0.035852607
sensor_15,0.03455059
sensor_9,0.027619539
sensor_16_lag1,0.024598634
sensor_4_lag1,0.01959388
sensor_17,0.014750737
sensor_14,0.011649009
sensor_9_lag1,0.011352757
sensor_14_lag1,0.009939237
sensor_10,0.008560595
sensor_16_rolling_mean_3,0.008147419
sensor_2,0.008055474
sensor_21,0.00672006
sensor_6,0.0062726988
sensor_21_lag1,0.006068472
sensor_12,0.0059062173
sensor_7,0.00570479
sensor_13_rolling_mean_3,0.0054610097
sensor_20,0.005263025
sensor_17_lag1,0.0047788625
sensor_15_rolling_mean_3,0.0046969317
sensor_8_lag1,0.004671829
sensor_11_rolling_mean_3,0.00455967
sensor_7_lag1,0.0045581963
sensor_6_lag1,0.0043899533
sensor_2_lag1,0.004322257
sensor_12_lag1,0.0039733434
sensor_8,0.0038139077
sensor_9_rolling_mean_3,0.0031964858
sensor_12_rolling_mean_3,0.0031440775
sensor_7_rolling_mean_3,0.0030309304
sensor_3,0.0029066717
sensor_14_rolling_mean_3,0.0028619748
sensor_6_rolling_mean_3,0.0028498347
sensor_10_lag1,0.0027289018
sensor_20_rolling_mean_3,0.0025090177
sensor_3_lag1,0.0023242456
sensor_4_rolling_mean_3,0.002176742
sensor_21_rolling_mean_3,0.0018913388
sensor_20_lag1,0.0018275526
sensor_8_rolling_mean_3,0.0017358857
sensor_3_rolling_mean_3,0.0017338586
sensor_17_rolling_mean_3,0.0016714372
sensor_2_rolling_mean_3,0.0014900855
sensor_10_rolling_mean_3,0.0011856998
setting_2,0.0008745273
sensor_1_lag1,0.0008446301
sensor_18_rolling_mean_3,0.00083891745
sensor_1_rolling_mean_3,0.00075236795
sensor_5_rolling_mean_3,0.000750764
sensor_1,0.0007277171
setting_3,0.00065167656
sensor_5,0.0006248471
sensor_19,0.0
sensor_18,0.0
sensor_5_lag1,0.0
sensor_18_lag1,0.0
sensor_19_lag1,0.0
sensor_19_rolling_mean_3,0.0
