Feature,Mean_Absolute_SHAP
cycle,15.271628
sensor_13,4.750813
sensor_15,3.7584684
sensor_13_lag1,3.532541
sensor_15_lag1,3.3900082
sensor_11_lag1,3.2252192
sensor_11,3.1301699
sensor_4,2.1365411
sensor_6,2.0767481
sensor_4_lag1,1.7048107
sensor_6_lag1,1.6529003
sensor_14,1.3723558
sensor_14_lag1,1.1866431
sensor_9,0.98050916
sensor_21,0.819456
sensor_12,0.785666
sensor_21_lag1,0.6522088
sensor_2,0.6402508
sensor_2_lag1,0.5995497
sensor_9_lag1,0.567286
sensor_8,0.5549409
sensor_12_lag1,0.5480229
sensor_17,0.5247498
sensor_3,0.50963616
sensor_3_lag1,0.47369882
sensor_20,0.4470169
sensor_8_lag1,0.44292495
sensor_7,0.40794227
sensor_17_lag1,0.40275976
sensor_13_rolling_mean_3,0.3376568
sensor_20_lag1,0.32221258
sensor_7_lag1,0.31848004
sensor_15_rolling_mean_3,0.2934244
sensor_9_rolling_mean_3,0.22751316
sensor_11_rolling_mean_3,0.22622927
sensor_14_rolling_mean_3,0.22455205
sensor_16_lag1,0.21598832
sensor_6_rolling_mean_3,0.20420273
sensor_3_rolling_mean_3,0.1930971
sensor_7_rolling_mean_3,0.17886686
sensor_16,0.17321259
sensor_17_rolling_mean_3,0.16823311
sensor_8_rolling_mean_3,0.15854211
sensor_12_rolling_mean_3,0.14634901
sensor_20_rolling_mean_3,0.14293364
sensor_4_rolling_mean_3,0.12880361
sensor_21_rolling_mean_3,0.10481723
sensor_10_lag1,0.10066392
sensor_2_rolling_mean_3,0.09326943
sensor_16_rolling_mean_3,0.08565828
sensor_10,0.0815025
sensor_10_rolling_mean_3,0.07226177
setting_1,0.06707119
sensor_5_rolling_mean_3,0.024735192
sensor_1_rolling_mean_3,0.0152658215
setting_2,0.007617981
sensor_18_rolling_mean_3,0.0074977754
sensor_1,0.0043915273
sensor_1_lag1,0.004058601
sensor_5,0.0006272869
setting_3,0.00049412344
sensor_19,0.0
sensor_18,0.0
sensor_5_lag1,0.0
sensor_18_lag1,0.0
sensor_19_lag1,0.0
sensor_19_rolling_mean_3,0.0
