Feature,Importance
sensor_13,0.26621238183546797
sensor_13_lag1,0.1353606450103575
sensor_11_lag1,0.09383530914056243
sensor_11,0.07069397531746628
sensor_15_lag1,0.06718741785987724
sensor_11_rolling_mean_3,0.03786126691021966
sensor_4_lag1,0.03565054957438832
sensor_6_lag1,0.0318799005117061
sensor_9,0.019244088033028423
sensor_9_lag1,0.017939527325481815
sensor_9_rolling_mean_3,0.015539601816145818
sensor_6_rolling_mean_3,0.014188040311268349
sensor_14_lag1,0.014044307379117806
sensor_15,0.01382083506031558
sensor_4,0.013049330905992834
sensor_12_lag1,0.012576018746369117
sensor_13_rolling_mean_3,0.009138177394457412
sensor_14,0.008761103305853083
sensor_12_rolling_mean_3,0.00863124435354854
sensor_7_lag1,0.007914552335754447
sensor_12,0.007691956899137333
sensor_2_lag1,0.006630780835071777
sensor_8_lag1,0.006431634772717229
sensor_3_lag1,0.006274530938568477
sensor_7_rolling_mean_3,0.005884610494045079
sensor_14_rolling_mean_3,0.005735795591352558
sensor_6,0.005698016914355754
sensor_21_lag1,0.0053959080692409945
sensor_7,0.005165898814105783
sensor_2,0.004414781389485663
sensor_21,0.004279998297863491
sensor_8,0.004127787513116366
sensor_20_lag1,0.0040572206547511876
sensor_3,0.003971593531764268
sensor_4_rolling_mean_3,0.003921452021290909
sensor_15_rolling_mean_3,0.003541236172454597
sensor_20,0.0033435085997453916
sensor_21_rolling_mean_3,0.0031055500738021366
sensor_3_rolling_mean_3,0.002586328042171002
sensor_20_rolling_mean_3,0.0024585751819792764
sensor_8_rolling_mean_3,0.0024016515610409744
sensor_2_rolling_mean_3,0.0022303141049962102
sensor_17_lag1,0.001916872867294629
sensor_17_rolling_mean_3,0.0012405183431883047
sensor_17,0.0012362262464108782
sensor_10_lag1,0.0005039784183728899
sensor_1_rolling_mean_3,0.00044156766169207686
sensor_10_rolling_mean_3,0.0003443678190178686
sensor_5_rolling_mean_3,0.0002874960518113003
sensor_18_rolling_mean_3,0.00021997733822121224
sensor_10,0.00019960409416320963
setting_2,0.00013741062141858396
sensor_16_lag1,0.00010947148448132913
sensor_16_rolling_mean_3,8.747528311206004e-05
sensor_16,7.330134317242535e-05
sensor_1,5.343352058606567e-05
setting_1,4.153014122631596e-05
sensor_5,3.9402645516361284e-05
sensor_18_lag1,3.938383913694308e-05
sensor_18,3.882612844683001e-05
sensor_1_lag1,3.64712259123829e-05
sensor_5_lag1,2.971166571081131e-05
sensor_19_rolling_mean_3,2.6232418769326706e-05
sensor_19,8.123600165915607e-06
setting_3,5.751553911634382e-06
sensor_19_lag1,5.462087825520678e-06
